,tweets,
15,"RT @BrunoAmato_1: Things I AM FOR and Kevin McCarthy #CA23 is against...

Doing Townhalls in my District.
Violence Against Women Act.
Unive…",neutral
16,You #Americans are bad for America #LGBTQ #metoo #BlackLivesMatter why don’t you go fuck up some other country? I d… https://t.co/c8GuhMn61c,negative
17,"RT @BrunoAmato_1: Things I AM FOR and Kevin McCarthy #CA23 is against...

Doing Townhalls in my District.
Violence Against Women Act.
Unive…",neutral
18,"RT @MendacityAbout: #11thHour RT # SenJohnKennedy 
""I don't mean any disrespect,but it must suck to be that dumb."" #BuildBackBetterAct #msn…",neutral
19,"RT @MendacityAbout: #11thHour RT # SenJohnKennedy 
""I don't mean any disrespect,but it must suck to be that dumb."" #BuildBackBetterAct #msn…",neutral
20,"RT @bpsycho1: Out of work, #disabled w/ heart failure, 2000 in the hole on #rent,  utility bills, debt. WILL BE HOMELESS W/O HELP
CApp/Vmo/…",negative
21,RT @Malcolm_X_Files: My religion makes me against all forms of racism. It keeps me from judging any man by the color of his skin. It teache…,positive
22,"RT @xxGoodnEvilxx: Everyone who is calling the #McMichaelBryanTrial the
#AhmaudArberyTrial ... are truly ignorant. 
There is meaning behing…",neutral
23,"Everyone who is calling the #McMichaelBryanTrial the
#AhmaudArberyTrial ... are truly ignorant. 
There is meaning b… https://t.co/rXSIcAugoF",neutral
24,RT @Malcolm_X_Files: My religion makes me against all forms of racism. It keeps me from judging any man by the color of his skin. It teache…,positive
25,"RT @MendacityAbout: #11thHour RT # SenJohnKennedy 
""I don't mean any disrespect,but it must suck to be that dumb."" #BuildBackBetterAct #msn…",neutral
26,"RT @MendacityAbout: #11thHour RT # SenJohnKennedy 
""I don't mean any disrespect,but it must suck to be that dumb."" #BuildBackBetterAct #msn…",neutral
27,"RT @MendacityAbout: #11thHour RT # SenJohnKennedy 
""I don't mean any disrespect,but it must suck to be that dumb."" #BuildBackBetterAct #msn…",neutral
28,RT @teodiofidel: You think police in the US is prejudiced? Watch how Cuban police treats South African Medical students that were just havi…,negative
29,"#11thHour RT # SenJohnKennedy 
""I don't mean any disrespect,but it must suck to be that dumb."" #BuildBackBetterAct… https://t.co/o7xDPr9z8d",neutral
30,"RT @amanda_gfx: #Gamers! Get sick theme #badges for your gaming so HMU...
#twitch #smallstreamer #twitchstreamer #twitchaffiliate #BlackLiv…",negative
31,@EFFSouthAfrica Please go to Sudan and help restore the dignity of black people. Go to Mozambique and restore the d… https://t.co/7h7euzAIlx,negative
32,"RT @msgrumpybunny: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism n…",neutral
33,RT @BilisumaKegna: @USAmbUN @UN How could you sleep at night? Have you not shame to speak of your govt protecting human rights in #Black Af…,negative
34,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
35,"RT @phoenix_art_01: Want a cartoon portrait?
Please kindly DM now to commission yours 🦋

#Commission #art #NFTs #artwork #comic #blackmen #…",neutral
36,RT @DaRealPepa: How many more names we need for this broken system to be fixed! #WeWantJustice #BlackLivesMatter https://t.co/GdFkc1jTTE,negative
37,"#LawAndOrder
#CivilRights
#fourthAmendment 
#GoodCops
#BlackLivesMatter 
#Vote
Good Cop Gets Bad Cop Fired and Arre… https://t.co/a1AZAdyy2f",neutral
38,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",positive
39,"Sun Jul 12 2020 Portland, Oregon - Protester shot in the head WATCH: https://t.co/x9FWNoY7cc #PortlandOregon #PPD… https://t.co/7Minz1Og8l",negative
40,National felons eagle strikes again #blacklivesmatter https://t.co/rd8hlFUgbz,negative
41,"Good read! &gt; Book review: In 'Dear White Friend,' a Black #construction CEO tackles race at work… https://t.co/aXYG0mK8wJ",positive
42,RT @say_the_names: Christian Taylor #BlackLivesMatter,positive
43,RT @crisxherring: I hope my death makes more cents than my life ♊️✊🏿 - Arthur Fleck #BlackLivesMatter 🙏🏻 #JusticeForGeorgeFloyd https://t.c…,negative
44,RT @ejlazarus: How in the world has a child been missing for almost a month and no one suspects foul play nor has any suspect been named? T…,negative
45,"RT @Buddha_Inked: Goodnight, nerds! And remember: #BlackLivesMatter #TransRightsAreHumanRights 🏳️‍🌈 #WearAMask 😷",negative
46,"RT @Mindcite_US: How a descendant of immigrants and a descendant of slaves sold their souls to the the Republican party. 

#GOPTraitorsToDe…",negative
47,"RT @IDLIVA: I deserve to live in America &amp; NOT Amerikkka!  

#BlackLivesMatter https://t.co/3EFH0q672T",neutral
48,"RT @IDLIVA: I deserve to live in America &amp; NOT Amerikkka!  

#BlackLivesMatter https://t.co/3EFH0q672T",neutral
49,"Say, “Shut Up And Dribble,” Again. I Dare You! | by William Spivey | Aug, 2020 | Medium - via @pensignal… https://t.co/eJWEM1f8HR",negative
50,@HHichilema @_AfricanUnion hmmm it is hard to believe that you lead black people while you easily fail to white  at… https://t.co/XGNBc91bf1,negative
51,RT @Harperpunk: @SkeeAU @actingliketommy Nice. #BlackLivesMatter,neutral
52,"For those who follow me, understand that I don't put up with BS like body shaming. I support #BodyPositivity… https://t.co/qBDmBXBWYB",positive
53,RT @ejlazarus: How in the world has a child been missing for almost a month and no one suspects foul play nor has any suspect been named? T…,negative
54,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",positive
55,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
56,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",neutral
57,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,positive
58,@SkeeAU @actingliketommy Nice. #BlackLivesMatter,neutral
59,"RT @IDLIVA: I deserve to live in America &amp; NOT Amerikkka!  

#BlackLivesMatter https://t.co/3EFH0q672T",neutral
60,"Goodnight, nerds! And remember: #BlackLivesMatter #TransRightsAreHumanRights 🏳️‍🌈 #WearAMask 😷",neutral
61,How in the world has a child been missing for almost a month and no one suspects foul play nor has any suspect been… https://t.co/CWzVoS3Zt5,negative
62,RT @crisxherring: I hope my death makes more cents than my life ♊️✊🏿 - Arthur Fleck #BlackLivesMatter 🙏🏻 #JusticeForGeorgeFloyd https://t.c…,negative
63,Christian Taylor #BlackLivesMatter,neutral
64,"""Under the influence of politically correct extremism, individual thought &amp; expression are too often curbed and rep… https://t.co/5PtnUoLuXW",negative
65,"RT @Tildys: Patriots Believe #BlackLivesMatter

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now. 

Let…",neutral
66,This punks smile says it all. I hope he get life he's a punk and he deserves a life behind bars! #BlackLivesMatter… https://t.co/KwE32brKHX,negative
67,#BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #covid19 #corruption Wake #science #sciencewins… https://t.co/jcTt3s7G0S,negative
68,Now If We Had Our Own Government It Woulda Been GREAT JUST LIKE THAT #BlackGovernment #blacklivesmatter… https://t.co/NyneMsjTYz,negative
69,"We still have a few scarves available for sale. $20 per scarf, all proceeds will go to @RadicalMonarchs.

To order,… https://t.co/HnbC2OmwhU",positive
70,"RT @blmphxmetro: BLM Phoenix Metro is on TikTok y'all! Give us a follow. Our username is blmphxmetro! ✊🏼✊🏽✊🏾✊🏿
#blmphoenixmetro #blm #black…",positive
71,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",positive
72,"RT @IDLIVA: I deserve to live in America &amp; NOT Amerikkka!  

#BlackLivesMatter https://t.co/3EFH0q672T",neutral
73,"RT @blmphxmetro: BLM Phoenix Metro is on TikTok y'all! Give us a follow. Our username is blmphxmetro! ✊🏼✊🏽✊🏾✊🏿
#blmphoenixmetro #blm #black…",positive
74,RT @james59975431: @SpeakerPelosi @GOPLeader I wouldn’t trust @SpeakerPelosi because this woman only sees January 6 as an insurrection but…,negative
75,"RT @HamiltonPR5: Your Social Media Partner.
#TMobileTuesdays #socialmediaads #digitalmarketing #DrDogKiller #NationalPumpkinDay #tuesdayvib…",neutral
76,RT @crisxherring: I hope my death makes more cents than my life ♊️✊🏿 - Arthur Fleck #BlackLivesMatter 🙏🏻 #JusticeForGeorgeFloyd https://t.c…,negative
77,"RT @LeiaBryant13: Also #BLM is not against any of those things as far as I know.
#BlackLivesMatter",neutral
78,"RT @BrunoAmato_1: Things I AM FOR and Kevin McCarthy #CA23 is against...

Doing Townhalls in my District.
Violence Against Women Act.
Unive…",neutral
79,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #corruption Wake #science #sc…,negative
80,"RT @OldMainBell: DING, ding^ ding? ding &amp; DING. ding^ ding, Ding... ding ding ding? #PennState #BlackLivesMatter #JusticeForAll",neutral
81,RT @james59975431: @SpeakerPelosi @GOPLeader And trust me lol @SpeakerPelosi #BlackLivesMatter aren’t victims they are instigators of racis…,negative
82,@SpeakerPelosi @GOPLeader And trust me lol @SpeakerPelosi #BlackLivesMatter aren’t victims they are instigators of… https://t.co/jI7f3LJeMZ,negative
83,"RT @OldMainBell: DING, ding^ ding? ding &amp; DING. ding^ ding, Ding... ding ding ding? #PennState #BlackLivesMatter #JusticeForAll",neutral
84,#BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #corruption Wake… https://t.co/lhqOBUg4OA,negative
85,"DING, ding^ ding? ding &amp; DING. ding^ ding, Ding... ding ding ding? #PennState #BlackLivesMatter #JusticeForAll",neutral
86,RT @james59975431: @SpeakerPelosi @GOPLeader Lol @SpeakerPelosi can’t handle an animated video of her self being taken out that’s pretty fu…,positive
87,@SpeakerPelosi @GOPLeader Lol @SpeakerPelosi can’t handle an animated video of her self being taken out that’s pret… https://t.co/cKMhwTd8Bx,negative
88,"RT @LeiaBryant13: Also #BLM is not against any of those things as far as I know.
#BlackLivesMatter",neutral
89,"RT @HamiltonPR5: Your Social Media Partner.
#TMobileTuesdays #socialmediaads #digitalmarketing #DrDogKiller #NationalPumpkinDay #tuesdayvib…",positive
90,RT @james59975431: @SpeakerPelosi @GOPLeader I wouldn’t trust @SpeakerPelosi because this woman only sees January 6 as an insurrection but…,negative
91,@SpeakerPelosi @GOPLeader I wouldn’t trust @SpeakerPelosi because this woman only sees January 6 as an insurrection… https://t.co/eIUU1o2gQE,negative
92,"RT @PeggyStuart: We know that #PatriotsBelieve that when #BlackLivesMatter all lives will matter.

#ONEV1 #DemVoice1 #Dems4USA #DemCast 

h…",positive
93,"RT @kk131066: To this day

- #Equality is a pipe dream 4 American women

- millions struggle to prove that #BlackLivesMatter

#StrongerToge…",neutral
94,"RT @GangemiMerry: @Kaepernick7 @netflix ""They'll see how beautiful I am
And be ashamed,--

I, too, am America."" (Langston Hughes) 

#BlackL…",positive
95,"RT @IDLIVA: I deserve to live in America &amp; NOT Amerikkka!  

#BlackLivesMatter https://t.co/3EFH0q672T",negative
96,RT @coolfunnytshirt: It's not as if Team BCCI hasn't done anything worthwhile. They have achieved #BlackLivesMatter and #WeStandWithShami.…,positive
97,"RT @ObsidianCollec1: Navy men set sail for war ⚓️

From the OCA (1940)

#blackcommunity #blacklivesmatter #blacklove #blackpower #blackexce…",negative
98,"RT @IDLIVA: I deserve to live in America &amp; NOT Amerikkka!  

#BlackLivesMatter https://t.co/3EFH0q672T",negative
99,RT @GibsonBeaver: @DarthApuReborn mr beaver wonders if #BlackLivesMatter in israel,negative
100,It's time to #DefundTheCavourPolice #BlackLivesMatter,negative
101,"I deserve to live in America &amp; NOT Amerikkka!  

#BlackLivesMatter https://t.co/3EFH0q672T",negative
102,"RT @BrunoAmato_1: Things I AM FOR and Kevin McCarthy #CA23 is against...

Doing Townhalls in my District.
Violence Against Women Act.
Unive…",neutral
103,"RT @SHurleyHall: Also as a first generation Nigerian-American woman there was a lot about my experiences to explore. @Itoroflower

Read the…",positive
104,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wakey #sc…,negative
105,"RT @ObsidianCollec1: Navy men set sail for war ⚓️

From the OCA (1940)

#blackcommunity #blacklivesmatter #blacklove #blackpower #blackexce…",negative
106,RT @ConnellCrooms: We are still looking for someone to join our incredible disability work. Reach out to us and apply to become an Advocate…,positive
107,#BlackLivesMatter #NickiMinaj #MAGA #Alberta #Ontario #Toronto #covid19 #corruption Wake #science #sciencewins… https://t.co/MwPpqBwTtR,negative
108,RT @IsStratkotter: This is day 572 of strikeing for #savecongorainforest and #GlobalClimateJustice to say that #AfricaMatters #BlackLivesMa…,neutral
109,"RT @scroll_in: #Watch: Young woman shouts at Indian cricketers to stand up for Indian farmers

The Indian cricket team took a knee in suppo…",negative
110,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
111,"#Watch: Young woman shouts at Indian cricketers to stand up for Indian farmers

The Indian cricket team took a knee… https://t.co/L1zq368J6A",neutral
112,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",neutral
113,"Navy men set sail for war ⚓️

From the OCA (1940)

#blackcommunity #blacklivesmatter #blacklove #blackpower… https://t.co/ZF5qZp2Vv2",negative
114,#BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption W… https://t.co/kaEgHrd2OZ,negative
115,"RT @SHurleyHall: Also as a first generation Nigerian-American woman there was a lot about my experiences to explore. @Itoroflower

Read the…",positive
116,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…",negative
117,"RT @Aswagaawy: Delighted to win 2ND PLACE in the 2021 Porter House Review Poetry Contest with my poem ""February 23, 2020"" written for Ahmad…",positive
118,"Sun May 31 2020 New York City, New York - Police injure journalist WATCH: https://t.co/BvAenmY6Gn City #NewYork Cit… https://t.co/olNW9NcBYm",negative
119,"RT @sergeivote: So let me get this straight: Aaron Rodgers can spread misinformation about vaccines, 

But Colin Kaepernick can't speak the…",negative
120,"Also as a first generation Nigerian-American woman there was a lot about my experiences to explore. @Itoroflower

R… https://t.co/Al3jtjGwXW",positive
121,"RT @blmphxmetro: BLM Phoenix Metro is on TikTok y'all! Give us a follow. Our username is blmphxmetro! ✊🏼✊🏽✊🏾✊🏿
#blmphoenixmetro #blm #black…",positive
122,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
123,Gloves are starting to come off.. good to see! #chudwatch #blacklivesmatter https://t.co/bY76fwPMBW,neutral
124,"RT @Mindcite_US: How a descendant of immigrants and a descendant of slaves sold their souls to the the Republican party. 

#GOPTraitorsToDe…",negative
125,"RT @Mindcite_US: How a descendant of immigrants and a descendant of slaves sold their souls to the the Republican party. 

#GOPTraitorsToDe…",negative
126,RT @KtownforAll: .@DocMellyMel: Parks are not meant for people to be roaming around with guns. This motion speaks volumes to the kind of pe…,negative
127,RT @BotDefund: It's time to #DefundTheSpringChurchPolice #BlackLivesMatter,negative
128,"RT @Tildys: Patriots Believe #BlackLivesMatter

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now. 

Let…",neutral
129,"Hands up, don't shoot! #BlackLivesMatter",negative
130,Thread. #StandForIzzy #TakeNote #BlackLivesMatter #SpeakUpandDribble https://t.co/cNjHuMH5WI,negative
131,"@jamiegangel @Acosta Psssttt... Trump isn't President anymore . . .

#obsessed #Triggered 

#DefundThePolice… https://t.co/skx6boxN6v",neutral
132,"📣 New Podcast! ""Work This Way"" on @Spreaker #blacklivesmatter #block_crown #camelphat #celeste #djmix #draman… https://t.co/qlI7HRRqDw",neutral
133,"American Nightmare (11/09/2021) 
#poetry #poetrytwitter #oneaday #BlackLivesMatter https://t.co/BXZ5DehW98",negative
134,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #Alberta #Ontario #Toronto Wake #science #sciencewins #Australia #Arizona #murder #chil…,negative
135,"Nestride Yumga goes off at DC protest against BLM. Well done. 

#BlackLivesMatter 

https://t.co/hq0lWq6Bec",negative
136,"RT @kk131066: To this day

- #Equality is a pipe dream 4 American women

- millions struggle to prove that #BlackLivesMatter

#StrongerToge…",neutral
137,"#IndigenousPeoples remind us of their slaughter, #ColinKaepernick @Kaepernick7 reminds us that #BlackLivesMatter .… https://t.co/9jq0STzxwQ",negative
138,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #covid19 #Covid_19 #cancer #corruption Wakey #science #s…,negative
139,#BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #covid19 #Covid_19 #cancer #corruption Wakey… https://t.co/PGg7L9jLPt,negative
140,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",positive
141,"RT @theburrowjulia: If three black men killed a white man and the jury was made up of 11 black jurors and one white, can you imagine the ou…",negative
142,"RT @kk131066: To this day

- #Equality is a pipe dream 4 American women

- millions struggle to prove that #BlackLivesMatter

#StrongerToge…",neutral
143,"RT @sergeivote: So let me get this straight: Aaron Rodgers can spread misinformation about vaccines, 

But Colin Kaepernick can't speak the…",negative
144,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
145,It's time to #DefundTheSpringChurchPolice #BlackLivesMatter,negative
146,"RT @blmphxmetro: BLM Phoenix Metro is on TikTok y'all! Give us a follow. Our username is blmphxmetro! ✊🏼✊🏽✊🏾✊🏿
#blmphoenixmetro #blm #black…",positive
147,"@BIRetail it's only fair, equal pay for equal work

but NO #BlackLivesMatter #StopAsianHateCrimes #StopAsianHate in… https://t.co/PrbkRwm0nn",positive
148,"Brittany Tichenor, Izzy's mother, is speaking last. 

""I wish she could see how much she is truly loved.""

""This is… https://t.co/YygssDjjkJ",neutral
149,RT @Satellit3Heart: Treasure Hendrix was found dead in officer Charlie Bell's RV. Chicago PD appears to be hindering the investigation via…,negative
150,"RT @theskindoctor13: This is world's loss, not India's. Everyone knew our team had reach, stardom, money and activists-par-excellence who c…",neutral
151,RT @averymariah17: #KierraColes is still missing #Chicago #illinois #missing #BlackLivesMatter https://t.co/viCNfw0tGp,neutral
152,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",positive
153,"RT @theburrowjulia: If three black men killed a white man and the jury was made up of 11 black jurors and one white, can you imagine the ou…",negative
154,"RT @inartfairNYK: Feed the flock of God which is among you, taking the oversight thereof, not by constraint, but willingly; not for filthy…",neutral
155,"RT @DominikJust: Stop white privileges  
Does anyone else think #KyleRittenhouse is acting like the stereotypical self-entitled privileged…",negative
156,"RT @Riss_Bundjalung: Police brutality and murder is not a cure for mental illness. RIP brother another life stolen from us, sending love to…",negative
157,"RT @inartfairNYK: Neither as being lords over God's heritage, but being examples to the flock.

1 Peter 5:3

#HolocaustMemorialDay #MLK #Gr…",neutral
158,"RT @newmalevichart: Friends, check out our BLM ART nft 100 Greatest African Americans https://t.co/Z4be9uxp3q Let’s pump these 100 tokens b…",positive
159,"RT @jaycolumbusnow: @askewfilm is coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! I hope to see you there!
——
#Documentary #Film #C…",positive
160,RT @Jessaustralia: @9NewsMelb Meanwhile my family marched in adelaide Victoria square for my cousin charlene warrior #BlackLivesMatter http…,positive
161,"RT @jaycolumbusnow: @askewfilm is coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! I hope to see you there!
——
#Documentary #Film #C…",positive
162,"RT @jaycolumbusnow: @askewfilm is coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! I hope to see you there!
——
#Documentary #Film #C…",positive
163,"RT @askewfilm: We’re coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! See you there!
——
#Documentary #Film #ChildAbandonment #Adopti…",positive
164,"RT @askewfilm: We’re coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! See you there!
——
#Documentary #Film #ChildAbandonment #Adopti…",positive
165,RT @james59975431: It’s amazing that nobody will say that #BlackLivesMatter are domestic terrorist when their actions says completely what…,negative
166,"RT @Tatertot20101: @WatchYourRepsSC Real Patriots want ALL Americans to prosper. 
True Patriots don't want a russian sponsored government.…",positive
167,Social Distancing-2021 #anthropoceneproject #filmfotograf #blacklivesmatter #nccwp #ilfordhp5 #pmkpyro… https://t.co/U7b7eTEZzV,neutral
168,"Also #BLM is not against any of those things as far as I know.
#BlackLivesMatter",neutral
169,"RT @OldMainBell: DING ding ding Ding^ ding. ding! Ding? ding ding, ding #PennState #BlackLivesMatter #JusticeForAll",neutral
170,RT @james59975431: It’s amazing that nobody will say that #BlackLivesMatter are domestic terrorist when their actions says completely what…,negative
171,"DING ding ding Ding^ ding. ding! Ding? ding ding, ding #PennState #BlackLivesMatter #JusticeForAll",neutral
172,RT @james59975431: It’s amazing that nobody will say that #BlackLivesMatter are domestic terrorist when their actions says completely what…,negative
173,It’s amazing that nobody will say that #BlackLivesMatter are domestic terrorist when their actions says completely… https://t.co/UMlISbQaqT,negative
174,RT @Satellit3Heart: Treasure Hendrix was found dead in officer Charlie Bell's RV. Chicago PD appears to be hindering the investigation via…,negative
175,"RT @askewfilm: We’re coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! See you there!
——
#Documentary #Film #ChildAbandonment #Adopti…",positive
176,"We’re coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! See you there!
——
#Documentary #Film… https://t.co/2XU7MLUFsJ",positive
177,"@askewfilm is coming to the @kencen #MilleniumStage on Nov. 17 @ 6pm! I hope to see you there!
——
#Documentary… https://t.co/z5A23BGfPG",positive
178,"Neither as being lords over God's heritage, but being examples to the flock.

1 Peter 5:3

#HolocaustMemorialDay… https://t.co/UiyPBQm9oX",neutral
179,"Feed the flock of God which is among you, taking the oversight thereof, not by constraint, but willingly; not for f… https://t.co/lWTF5InzW7",neutral
180,"RT @ellyse_perrygfx: Streamers!!Want amazing mascot logo for Twitch? dm me
#smallstreamer  #SmallStreamerConnect #streamergirl #SupportSmal…",neutral
181,"RT @JemmarPseudo: This is bad I have not received more donations and the time to pay is approaching I have nerves please help me D:
#Mutual…",negative
182,@therealzanetta @RepGosar @RepMTG @RepBoebert @RepMattGaetz @replouiegohmert But all the #blacklivesmatter clowns w… https://t.co/eJx87dOdJl,negative
183,RT @james59975431: @hugolowell Breaking: @hugolowell will report anything that slams January 6 people when yet #BlackLivesMatter started th…,negative
184,@hugolowell Breaking: @hugolowell will report anything that slams January 6 people when yet #BlackLivesMatter start… https://t.co/uVwppCH1V8,negative
185,"The elders which are among you I exhort, who am also an elder, and a witness of the sufferings of Christ, and also… https://t.co/pGqiw0i5Jg",neutral
186,RT @IsStratkotter: This is day 572 of strikeing for #savecongorainforest and #GlobalClimateJustice to say that #AfricaMatters #BlackLivesMa…,negative
187,RT @LizDeepJones: “I want the ⁦@UN⁩ to say to our racist government that #BlackLivesMatter And tell the world that my son David’s life matt…,negative
188,"RT @46usaC: Biden Harris 2020 Election T-Shirt #blacklivesmatter #democrat
https://t.co/6m7WMa3R0T https://t.co/fbD2zeYJgB",neutral
189,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,positive
190,"RT @theskindoctor13: This is world's loss, not India's. Everyone knew our team had reach, stardom, money and activists-par-excellence who c…",neutral
191,"RT @GailWaldby: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now.…",positive
192,"Please read, &amp; share widely. 
#Cherokee #Indigenous #BlackLivesMatter
#NativeAmericanHeritageMonth #WereStillHere… https://t.co/vb3wpO2WzV",positive
193,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,positive
194,"RT @GailWaldby: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism now.…",positive
195,RT @james59975431: @EricBoehlert @AlanTudyk We don’t have to teach critical race theory nor should any white kids have to suffer threats or…,negative
196,@EricBoehlert @AlanTudyk We don’t have to teach critical race theory nor should any white kids have to suffer threa… https://t.co/4vP3ghOreb,negative
197,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,positive
198,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…",negative
199,RT @BrunoMars: Thank you to all the protesters around the world fighting for whats right.  Protect Black lives #BlackLivesMatter.,positive
200,"@POTUS 

or just keep walking in #circles. It's not like any #government figure will ever see these… https://t.co/37E6Kb3vfF",neutral
201,RT @violectrica: Kyle Rittenhouse believes so hard in the anti-#BlackLivesMatter flag he traversed state lines to argue. With a gun. Tellin…,negative
202,RT @suigenerisjen: Proud to be representing Leetona Dungay in her @UNHumanRights complaint about her son’s death in custody and Australia’s…,negative
203,RT @ellyse_perrygfx: Hi!need cute emote?Knock on my door anytime #smallstreamer #affiliate #SmallStreamerConnect #streamergirl #SupportSmal…,positive
204,"RT @manthonyhunter: In this @NPR article @mays_kyle, @MelaninMvskoke, @_joyscm and Autumn Rose Williams, are Young, Black Native activists…",positive
